ticker,guidance_year,capex_guidance_low,capex_guidance_high,capex_guidance_midpoint,source,source_date
AAPL,2025,12000,14000,13000.0,Q4 FY2024 Earnings Call,2025-01-15
MSFT,2025,80000,85000,82500.0,Q2 FY2025 Earnings Call,2025-01-15
GOOGL,2025,55000,60000,57500.0,Q4 2024 Earnings Call,2025-01-15
AMZN,2025,100000,110000,105000.0,Q4 2024 Earnings Release,2025-01-15
META,2025,60000,65000,62500.0,Q4 2024 Earnings Call,2025-01-15
NVDA,2025,8000,12000,10000.0,Q3 FY2025 Earnings Call,2025-01-15
TSLA,2025,10000,12000,11000.0,Q4 2024 Earnings Call,2025-01-15
